Question,Answer
Is the local data waiver applicable for other music apps?,Currently the local data charges waiver is only for Singtel Music partner apps. However
How can I pay for my Singtel Music subscription?,The subscription charges for Singtel Music will be included in your monthly Singtel bill.
How do I cancel my subscription to Singtel Music and what happens when I do so?,For cancellations
What is TIDAL HiFi?,TIDAL HiFi is the high fidelity music subscription that allows you to stream 40 million tracks in lossless quality at 1411kbps. Lossless content is CD quality music meaning that the files are not compressed
Who can subscribe to Singtel Music?,You can subscribe to Singtel Music if you are our existing Singtel Postpaid Mobile customer. If youƒ??re not an existing Singtel Postpaid Mobile customer
How do I activate or link my selected premium music account?,You will receive a confirmation SMS after successful subscription of Singtel Music. Simply click on the link in the SMS and follow the steps to activate or link your selected premium music account. If you have an existing premium music account
What is Deezer HiFi?,Deezer HiFi is a music streaming service that allows you to discover and play all your favourite music in high-fidelity and lossless audio. Choose from millions of tracks and playlists
What is Singtel Music?,Itƒ??s a music service that allows all music lovers to stream and download their favourite songs via their favourite music apps
Does the subscription for this premium music service cover data roaming fees when I am overseas? Can data charges be waived even when I am overseas?,Only local data charges are waived with Singtel Music. If you like to stream and download music while you are overseas
To what extent are the local data charges waived for Singtel Music?,After you have subscribed
Can Prepaid Mobile customers subscribe to Singtel Music?,Unfortunately
How do I use Spotify,Please refer to the FAQs on the individual websites of the respective mobile apps for more information Spotify FAQ
Where can I subscribe to Singtel Music?,You can sign up via the following
What benefits do I enjoy with a Singtel Music subscription?,Youƒ??ll enjoy a premium music account on either Spotify
Can you unlink a Spotify Premium/KKBOX Premium/JioSaavn Pro/TIDAL Premium/TIDAL HiFi/Deezer Premium/Deezer HiFi Music Account and link a different Spotify Premium/KKBOX Premium/JioSaavn Pro/TIDAL Premium/TIDAL HiFi/Deezer Premium/Deezer HiFi Music Account to Singtel Music?,No
How do I know if my subscription to Singtel Music is successful?,After you have subscribed
When can I apply for admission?,Application for admission to the programmes at the Conservatory for Academic Year 2016/2017 is open from 1 October 2015 to 31 December 2015. Applications with incomplete supporting documents will be rejected after the closing date.
If I wish to transfer to Yong Siew Toh Conservatory of Music from another Bachelor of Music programme,Audition determines a candidateƒ??s studio level and ensemble requirement. Placement exams and evaluation of transcripts decide the class year and the number of semesters required to complete the programme. All transfer students must be in-residence for a minimum of two years in order to receive a degree from the University.
How do I schedule an audition?,After you have submitted an online application
On my Bachelor of Music Degree,Your degree will be from the National University of Singapore
d) Recommendations,Comments from teachers and professors who understand your musical ability contribute to our understanding of you as a musician and are valuable in helping us decide our offer.
Do I get to select my studio teacher?,Where there is a choice of studio teachers
Master of Music Degree,The current annual full tuition fees for the Master of Music Degree programme are
Is it necessary for overseas applicants to submit SAT,IELTS and TOEFL are not required for admission to the Conservatory. However
What is the relationship between the Yong Siew Toh Conservatory and National University of Singapore (NUS)?,The Conservatory is an autonomous school within the NUS. As such
Where can I obtain a recommendation form from the Conservatory?,After submitting your application online
When do I take the English Language Proficiency Test?,Singaporeans
How long after the audition will I hear if I have been accepted?,Offers of admission will be made from February to April 2016 with all results fully released by April 2016.
How do I apply for on-campus accommodation?,Online Application for Housing & Payment of SGD26.75 Registration Fee (early May to June) Part 2
CPE Certificate in Music Leadership,Financial assistance and loans are not available for this programme.
When are applications due?,Online application is from 1 October to 31 December 2015. Applications with incomplete supporting documents after 31 December 2015 will be rejected.
Are certificates of external examination boards accepted for admission?,Certificates and gradings obtained through external examinations such as ABRSM
What should prospective Composition applicants submit in their portfolio?,Candidates are required to submit a portfolio of 3 original scores representing the applicantƒ??s most accomplished works written for different combinations of instruments/voices (example
Can NUS students who are non-music majors enroll for music courses offered by the Conservatory?,The Conservatory is only able to offer limited choice of modules as electives for NUS students from other faculties. Major studies is not available for enrolment. For enquiries on music electives offered each semester
When will the auditions be held in Singapore?,The audition dates in Singapore for 2016/2017 are
Can diploma students from the Nanyang Academy of Fine Arts and the LaSalle College of the Arts apply?,Music diploma students from the Nanyang Academy of Fine Arts and LaSalle College of the Arts are welcome to apply but should note that placement in advanced semesters or year of study will be subject to further consideration on a case-by-case basis depending on the academic standing in NAFA and LaSalle and the audition placement score. Applicants currently in the final year of high school or equivalent studies as above are suitable to apply if they are expecting to finish their course and obtain the necessary qualifications before 1 August 2016.
b) Academic Status,As the modules offered in both the Bachelor of Music (Hons) and Master degree programmes are University-level subjects
Medical Examination for International Students for Studentƒ??s Pass,All international students who plan to stay in Singapore for 6 months or more will need to undergo and pass a medical examination which must include both an HIV test and a chest x-ray for detection of Tuberculosis for the application of the Studentƒ??s Pass. The original copy of both the radiologist report on the chest x-ray and the laboratory report on the HIV test must be attached to the completed medical report and submitted to the Immigration and Checkpoints Authority (ICA) within 3 months of issue.
Will I be given credits if I have a diploma in music?,Applicants who have a diploma in music (obtained locally or abroad through full-time studies) must first meet the admission requirements to the Conservatory and the University. Advance standings may be considered on a case-by-case basis.
CPE in Music Leadership,Fees for the CPE Certificate in Music Leadership are $400 per modular credit (MC) for 20MCs.
c) English Proficiency,As classes are conducted in the English medium at the Conservatory
What is the relationship between the Yong Siew Toh Conservatory and the Peabody Institute?,The Conservatoryƒ??s collaboration with the Peabody Institute is the first of its kind between a renowned American conservatory of music and a leading university in the Asia-Pacific region. Ranked among the top music schools in the world
How do I apply for a scholarship?,Candidates for the Bachelor of Music (Hons) Degree programme are not required to submit a separate application for the scholarships as the award of scholarship is guaranteed for all students accepted into the undergraduate programme. Candidates offered admission to the Master of Music Degree programme may apply for financial aid after they have accepted the offer of admission. Singapore citizens accepted into the Young Artist programme are not required to submit a separate application for the NAC-Conservatory of Music Scholarship. The scholarship will be awarded to students on a case-by-case basis after a consultation with the Director as part of the consideration for acceptance into the programme.
Do I need to provide the accompanist for my audition?,Applicants are recommended to perform with an accompanist at their own arrangement. Applicants auditioning in Singapore may enquire with the Conservatory Admissions Office at musadmissions@nus.edu.sg for recommendations of accompanists available in Singapore.
How do I apply for Studentƒ??s Pass?,Studentƒ??s Pass is applicable to international students only and applied online via Studentƒ??s Pass Online Application & Registration (SOLAR). Part 1
When are required documents due for submission?,Applicants must ensure that all necessary documents are prepared for submission at the time of application. Students pending their final year results and certificate should submit all high school transcripts up to the time of application. All documents must reach the Conservatory by the closing date of application.
Bachelor of Music (Hons) Degree,The current annual full tuition fee for the Bachelor of Music (Hons) Degree programme is SGD100
If I apply to major in composition,Candidates residing in Singapore who meet the audition requirements will be shortlisted for an interview during the audition week. At the interview
If I cannot accept your offer of admission and/or scholarship,For Singapore male applicants enlisting for national service
Young Artist,Currently
When is the Freshman Arrival & Orientation?,All newly admitted students will be involved in a 3-week orientation programme from mid-July to August
Bachelor of Music (Hons) Degree,The Conservatory currently offers full scholarships
Can I choose pieces other than those listed in the repertoire guide for my audition?,The audition repertoire requirement for various programmes reflects the level of performance expected of the candidate in the programmes. Candidates who are unable to offer the repertoire required for audition may not be at the level to enrol in the coursework and should re-consider other options for undergraduate studies
What should students prepare for enrolment at the University after acceptance?,The Conservatory Admissions will be in contact with students via email regularly regarding administration matters from early May to July. Students will receive instructions regarding on-campus housing application
How do I apply for the NUS Student Card?,Students must first submit their photo online for the printing of the NUS Student Card between early May and June. Your student card will be ready and given to you during orientation.
What are the important dates of the Academic Year 2016/2017?,Online Application is from 1 October 2015 to 31 December 2015. Live auditions will take place from December 2015 to March 2016 and will be held in Melbourne
How will my high school or diploma results affect my chances for admission?,While the key admission criteria is the candidateƒ??s ability to perform or compose at a threshold acceptable for admission
If I apply to the Yong Siew Toh Conservatory,Students are allowed to take some of the modules that are offered in NUS that are outside of the Conservatory.
Who is eligible to apply for the Bachelor of Music (Hons) Degree programme?,The Bachelor of Music (Honours) Degree programme is currently offered for majors in orchestral instruments
a) Audition & Interview,Preparing for a strong audition is a key requirement for admission to the major studies in performance. Candidates must be confident in performing the audition repertoire at a very high level. Candidates applying for the major in Composition will be assessed by the quality of their works submitted in their portfolio. Candidates applying for the major in Recording Arts and Science are expected to have G.C.E ƒ??Aƒ?? level equivalent passes in Mathematics and Physics.
Pre-Admission Medical Examination,All newly admitted students are required to undergo a medical examination.
Is there an application fee?,There is no application fee or other fees involved during the application phase. Foreign students are requested to consult with the Conservatory Admissions Office if they encounter agents charging them an application fee.
Young Artist,The current annual full tuition fee for the Young Artist programme is SGD7
Will students who are weak in English language receive help in terms of instruction?,All students who are not exempted from the Universityƒ??s Qualifying English Test are required to sit for the test in July 2016. Based on the test
I have not completed my high school examinations. Am I eligible to apply before the audition or will have to wait till I receive my high school results and certificate?,If you are currently in the final year of high school studies and expected to graduate by June 2016
Master of Music Degree,Currently
When is the NUS Registration Online Exercise?,All students must be registered before commencing a course of study at the University. Registration refers to a formal process whereby a student enrols at the start of his/her period of study to become part of the NUS student community. Registration takes place from June to July and consists of two stages
My copyright is being infringed,The information contained in Discogs is generally publicly available information
Who added my discography to your site?,Discogs is a user built website that relies on its userbase to add and update the information that we display. Anyone can add and edit the information.
Can I request staff edits or changes to my information on Discogs?,All edits to the database must be done by the community - our staff do not make edits or adjustments. If you have spotted errors
Who created an account for me on your site?,The artist / label discographies are not accounts
Can I get exclusive control of my artist or label page?,Sorry
Can I remove information?,Information is taken directly from publicly available releases in the possession of one or more members of the site
Who Can Live at The Artesan Lofts? Are There Income Restrictions?,The Artesan Lofts are made possible with financing that encourages affordable housing. As a result
What is a live-work space?,A space that combines your living quarters and workspace. Artesan Lofts has offers two 2-bedroom
Who Manages The Artesan Lofts?,The Artesan Lofts are managed by Realty and Mortgage Company (Phone ƒ?? 773-989-8000)
How Much is the Security Deposit?,Artesan Loftsƒ?? apartments charges the equivalent to one monthƒ??s rent. Complete your pre-application online today!
What is the Artist Interview Committee?,The Artist Interview Committee is drawn from local artists and community organizations as well as 1-2 members of the Property Management team. The process is friendly and informal
How Much is Rent?,1 Bedroom ƒ?? $814 2 Bedroom ƒ?? $966 * Net payable rent will be reduced by a utility allowance applicable to the unit size. Explore our artist apartments and floor plans through a clickable map.
Are Units at The Artesan Lofts ADA Compliant?,The Artesan Artist Lofts will not discriminate against applicants or residents because of their disability or the disability of anyone associated with them and from treating persons with disabilities less favorably than others because of their disability. Four (4) units in the building are designed for persons with mobility impairments
How Does My Credit Report Affect My Application?,A. Credit Standing Eligible Artesan Lofts applicants must have a satisfactory history of meeting financial obligations
Do You Have to Be An Artists to Live at The Artesan Lofts?,No
How does Artesan Lofts Support the Arts Based Community?,Artesan Lofts is helping to intersect community-based arts and commerce opportunities to affordable housing. Along with the John C. Dunham Aurora Arts Center
Can I Have Pets?,Every household can have 1 dog up to 25 pounds or up to two cats. A pet security deposit will be required.
What Questions Will the Artist Interview Committee Ask?,The questions are based on selection criteria and asked of every artist applicant. One is a demonstrated commitment to art. The second is a desire to live in and contribute to a community
What Are the Artesan Lofts?,Immersed in art
What Utilities are included?,Tenant is responsible for paying their own gas and electric. However
What if I Use Tools and Equipment That Makes Noise?,The property does have restrictions about noise. Quiet time is generally considered between 10pm and 7am. Amplified musical or dance practice is only allowed in the tenant common space and within the stated rules for those spaces. The project has adopted some rules about noise that adheres to the City of Aurora noise ordinance
How Do I Apply?,There are three steps to the application process for rental of units at Artesan Artist Lofts
Where is the parking located for the Artesan Lofts?,All residents at the Artesan Lofts will be provided with one parking pass to the Cityƒ??s ƒ??Goldƒ?parking lots / garages and will have unlimited access to these lots. If more than one parking pass is needed
How Do You Define Artist?,We understand that artists work within a wide spectrum of creative pursuits. As a result
Is There A Waiting List?,If an applicant is preliminarily approved and there are no available units
Why do you call yourself the Artesan Lofts?,One of Auroraƒ??s strengths is diversity. The growing arts scene in Aurora is young
Can I Have Roommates? Or I Have Kids,Yes
Are All Art Forms Allowed at Artesan Artist Lofts?,Artistic processes that are extremely noisy
How do I share my songs on Music Xray with others?,Each song is assigned its own permanent link
How many songs can I upload? Is there a limit?,There is no limit to how many songs you can upload to Music Xray. In fact
How do I add or change my similar artists?,When youƒ??re logged into your artist account and inside of your dashboard
Where can I read about success stories on Music Xray?,Please check out our success stories page here.
I don't want my songs to be public online,So you donƒ??t want your songs to be public? This question is one that comes up a lot. There's a very particular reason that all songs submitted to an industry professional have to be public. Let's say you were submitting a song that was not publicly searchable to an Industry Professional
How do I delete a song I have uploaded?,In order to delete a song
I am already signed to a label and have a publishing deal,This is a question that requires you to take several things into consideration. You should always check with your label or management to make sure youƒ??re in a position to find song placements. Often times
Where do I view my past submissions?,To view your past submissions
How do I view my potential fans?,You can see your fans from in the ƒ??Targeted Fansƒ?tab. Many of the fans have a Facebook icon next to their email address
What is a ƒ??Song Activity Chartƒ??,The Song Activity Chart is a feature that allows you to track a songƒ??s progress on the site. The graph shows you your songƒ??s daily progress
What is Music Xray?,Music Xray is a platform where artists can submit their music directly to Industry Professionals. When you submit to an opportunity
How do I know if I am entitled to a refund?,You can only be refunded for submissions that are past the 45 day response deadline. We refund musicians when we canƒ??t live up to our end of the deal
How can I check my income earned (refunds,Login to your account
Who can post opportunities on Music Xray?,Only verified and vetted industry professionals can post opportunities on the site. Our staff filters all postings to ensure theyƒ??re accurate and relevant. We never allow services to be sold or solicited on the site
How do I sign up as a Music Industry Professional?,To sign up as a Music Industry Professional with Music Xray
What is an EPK and how can I create one?,EPK stands for Electronic Press Kit. It is a place where you can list all of your songs in an online
How do I contact your support team for help?,There is a black
"What is the difference between ""songs with Diagnostics"" and ""songs without Diagnostics""?",Weƒ??ll show you how your song is perceived by the industry and how its ratings compare to all the other songs on the site.Next
Where do I find my songƒ??s permanent link/URL?,There are two ways to find your songƒ??s permanent link (xray)
Do your songs have to be professionally recorded,The quality of the songs do not always matter on Music Xray. Its important to read the descriptions for an opportunity before you submit to get a feel for what types of tracks the industry professional is looking for. Sometimes an industry professional is looking for finalized songs for radio play
I've received a response but I am not sure what it means. What is a submission status/response and how do I find these for each song within my account?,The submission status appears on every submission you make and depending on the opportunity you submit to the status may vary. To check on the status of each submission
Does Music Xray take a cut of deals?,No. We do not take any portion of any deal reached as a result of our site. We let you keep all the money you make from any deal. If you encounter any questionable material within a contract
How do I get the money I made from my tip jar?,Your tips will go directly into your Account Balance
How can I use the Affiliate Program and RSS Feed to Earn Money?,If you are using your affiliate id for posts to the Music Xray site to earn extra income you can now use our RSS feed to do the same. Just use this RSS feed that has the latest opportunities and include your affiliate id (i.e. - http
How are my ratings collected?,Your ratings are collected in one of two ways. When you run a Diagnostics campaign your song is sent to five industry professionals who specialize in your genre for their ratings consideration. This lets us establish a baseline for your track in the industry. From there weƒ??re able to calculate other data around your track based on how songs with similar ratings compared.Every time you make a submission on Music Xray
Music Xray is asking me to associate my Facebook account. What if I don't want to do this? What happens if I do?,If you sign up for a fan account with Music Xray
How to I enter,You must enter your Paypal information so youƒ??re able to receive payments from Music Xray. Please login to your account first. Once you're in your account
Is there a sign-up fee with Music Xray?,With Music Xray
Where do I run a Fan Match campaign?,Once youƒ??re logged into your account and in your dashboard tab
I'm not receiving email updates from Music Xray! How do I fix this?,Please login to your account first. Once you're in your account
My Fan Match campaign appears to be stuck. How can I fix this?,If your campaign appears to be stalled at a certain number of fans
What can I do with a Music Xray artist account?,Please visit this link for more information!
What is the Average Submission Graph?,The average submission graph shows how many submissions it took on average for songs with similar ratings to be selected on Music Xray. You can use this chart to set realistic expectations about how your song might be received in the industry
How do I upload songs to Music Xray?,When youƒ??re logged into your account
Why do I need to enter similar artists?,You must enter similar artists in order to target the fans that have musical interests who would appreciate your music. Without listing similar artists
How do I contact your support team for help?,There is a black
What is S2O (Sonic Opportunity Matching)?,S2O is a tool designed for artists to receive better opportunity matches. After your music is uploaded to our website
What is your 45 day Listen and Response Guarantee?,At Music Xray
How do you calculate my cost per fan?,We calculate your cost per fan using the following formula
How do I create an account?,Sign up for an Industry Professional account here.Sign up for an Artist account here.Sign up for a Fan account here.
What is the ƒ??target fansƒ?button?,The ƒ??target fansƒ?button allows you to target potential fans whose taste preferences are specifically matched to your music. These potential fans will be sent the song of your choice
Can I submit only lyrics to an opportunity?,You are able to upload anything that is in mp3 format; however
How do I edit song information?,To edit the information on your songs
How do I know they are legitimate? Do you screen your industry professionals?,All the Music Industry Professionals on Music Xray are background checked
I'm not receiving email updates from Music Xray! How do I fix this?,Please login to your account first. Once you're in your account
What format and size must my songs be?,Your songs must be in mp3 format and under 20MB.
How do I pay out my Account Balance to PayPal?,If you would like for your funds to be transferred back into your PayPal account
What happens to the submission fee set by the Industry Professional?,Music Industry Professionals set their fee based on how many submissions they can handle. Many of them send their fees off to various charities directly from Music Xray. Theyƒ??re not allowed to use the fees as part of their business or to run contests. We do not tolerate any Industry Professional abusing these fees
What is the ƒ??Sonic Opportunity Matchesƒ?button?,The ƒ??Sonic Opportunity Matchesƒ?button shows you all of your opportunity matches for this song. Click here to read more about S20 and opportunity matches.
What are ƒ??Recommended Next Stepsƒ??,You can think of your Recommended Next Steps as a GPS-like roadmap for gaining traction in the industry. Theyƒ??re data driven recommendations that factor in your songs strengths. We also recommend targeted actions
How do I sign up as a Music Industry Professional?,To sign up as a Music Industry Professional with Music Xray
How long can I expect to wait until I hear back from an Industry Professional?,The Industry Professionals on our site have a strict 45 day deadline policy that they must adhere to. We feel that this gives them enough time to consider submissions in relation to others they receive
I'm having an issuing finding my payouts. How can I make sure I was actually paid out?,If you login to your account
Who are the fans that Iƒ??m targeting on Music Xray?,These fans are people
How can I check my income earned (refunds,Login to your account
How does Diagnostics affect legacy users (Created account before February 20th 2013)?,If you have previously submitted to a Music Xray opportunity before February 20th
What exactly is the Music Xray transaction fee?,Transaction fees do differ from submission fees. Let us explain
Is my music copyright protected? How do I know?,As far as copyright laws go
How do I receive Sonic Opportunity Matching matches?,If we have found an S2O match for your song(s)
How do I set up my tip jar?,Select the ƒ??tipsƒ?tab and click on ƒ??tip jarƒ?from the dropdown menu. You can find the direct link
How can I invite other friends (musicians) to join Music Xray?,To invite your friends to join Music Xray
What are industry ratings?,Your song is rated based on 5 factors
Can I submit instrumental tracks?,Of course! Many opportunities accept both instrumental tracks and songs with vocals. Do your songs have to be professionally recorded
What is the ƒ??Search Displaysƒ?tab?,The ƒ??Search Displaysƒ?tab is split into three categories
Help! I keep receiving an error message whenever I try to perform a certain action. What do I do?,Weƒ??re sorry youƒ??re having an issue! We suggest trying these troubleshooting steps to see if it fixes the problem first
Can I submit instrumental tracks?,Of course! Many opportunities accept both instrumental tracks and songs with vocals.
What is a pingback and how do I find this?,"A ""pingback"" is just another word for ""conversation."" To see your pingbacks"
How do I sign up as a fan and what happens when I do?,All you have to do as a fan seeking new music is sign-up
How does fan targeting work and how much does it cost?,For every $1 you spend
What is Fan Match?,Fan Match does two things
How do I edit my fan match profile?,To edit your Fan Match profile
What happens when I delete a song?,When you delete a song that has been submitted to an opportunity in the past
How do I change my email address?,If you need to change your email address
How do I set-up my Next Big Sound Statistics?,To set up your Next Big Sound Artist Statistics
How do I opt out of Fan Targeting (with my Diagnostics package)?,After you purchase Diagnostics
How do I sign up as an artist on Music Xray?,On our home page
What data does a Song Activity Chart track?,It tracks things such as
How do I sign up as an artist on Music Xray?,On our home page
Where are my refunds located?,When you are logged into your account
Can I filter opportunities by location or cost?,Currently
Where do I find my songƒ??s permanent link/URL?,There are two ways to find your songƒ??s permanent link (xray)
How do I sign up as a fan and what happens when I do?,All you have to do as a fan seeking new music is sign-up
Can I add more potential fans to a campaign thatƒ??s already running?,Yes
What is Music Xray?,Music Xray is a platform where artists can submit their music directly to Industry Professionals. When you submit to an opportunity
What is the manage track button?,The ƒ??manage trackƒ?button takes you to the manage track page - your new hub for managing all information around a particular track
Why does Music Xray allow Industry Professionals to charge submission fees?,You only pay when you decide to submit a song to an opportunity
"What is the difference between ""income earned",Income Earned
Who are the Music Industry Professionals on Music Xray?,The Music Industry Professionals on Music Xray represent a wide variety of backgrounds
How do I make my song available for download?,In your dashboard tab
How do I upload songs to Music Xray?,When youƒ??re logged into your account
Where are my ratings located?,When youƒ??re in your artist dashboard
What is S2O (Sonic Opportunity Matching)?,S2O is a tool designed for artists to receive better opportunity matches. After your music is uploaded to our website
How many songs can I submit to each opportunity at once?,Physically
What types of responses can I expect to receive? Will my song always be given a response? If so,Short response types
What is Fan Match?,Fan Match does two things
How does Diagnostics affect legacy users (Created account before February 20th 2013)?,If you have previously submitted to a Music Xray opportunity before February 20th
What is the purpose of fan match for fans?,Our Fan Match feature on our site is designed to introduce you to artists in their very first stage of their career. Because our artists are at varying levels in their career
What if the band or member of the band can't make it on the day?,If a member of the band is unable to attend on the day of the event
How do I confirm a booking?,If you would like to book a band
How long will the band play for?,Every band has various options but you can expect most bands to offer either 2 x 45
Is the band PAT tested with adequate public liability insurance (PLI)?,Yes
What will the band wear?,Function bands will usually dress smart in suits or shirt and trousers. If you've chosen a band with a particular image
Do we need to hire a raised stage?,A stage is always a great addition to a performance but is not a requirement.
What time will the band arrive?,Bands will usually arrive and set-up from 5
Does the price quoted include travel costs and expenses?,Yes
Are there any hidden fees such as VAT?,No
What time should the band start playing?,This is completely up to you and your schedule on the day. For evening events
Will the band require refreshments?,We request that the band is provided with free soft drinks throughout their stay at the venue and a meal
What are the minimum power requirements for the band?,Most bands require at least 2-3 independent 13 amp sockets. This can vary depending on the size of the band and sound system. Details will be included on the contract.
How long does it take the band to set up?,Most bands will set up in around an hour. This will vary depending on the size of the band and event.
Will the band learn a specific song to be played at our Event / Wedding?,Most bands will learn one special song for free so if you have a first dance or a song to the end the night on
Does the band provide music between and before sets?,Yes
Does the band provide their own PA system / Sound equipment?,Yes
Why is the price quoted higher than the price on the website?,The price shown on our website is the bands local fee for the current year. Bands are happy to travel but their fee may increase to cover expenses and travel time.
How long are the intervals?,The intervals are usually around 20 minutes long but this can be longer to suit your requirements on the day.
Can we choose the set list?,You're welcome to send over a list of your favourite songs from the bands repertoire and the band will try to include these in their set. Bear in mind that most bands will alter their set to suit the audience reaction.
How can I pay the processing fee?,You may pay by credit card or PayPal.
What do I have to do?,Itƒ??s easy (and fun!) to rack up Fan pointsƒ??..but First you must register. It is Free ƒ?? No credit card required.
Can I make changes to the submission I paid for?,Yes
How do I enter?,Itƒ??s easy to submit your recordings
How can my fans help?,Your fans can help you earn IMA honors by voting for your Song and Short Form Music Video submissions
Do I need to be an IMA Nominee to attend?,All IMA Artists and other indie creatives & indie music fans are welcome.
Will my music/video be public on your website?,entries provided by an upload and all Short Form Music Videos provided by a link automatically become public on your IMA Fan Page and our Vox Pop fan voting platform immediately upon processing the submission fee. If you donƒ??t want your music/video public
Do I have to vote in every category at once or can I return at a later time?,Yes! We encourage you to return to the Jukebox often to continue exploring new entries. Simply log in and have at it!
Which categories should I enter?,Artists often have difficulty pigeonholing their music ƒ?? especially if itƒ??s a mix of musical styles and influences. Or suited to more than one category. Entrants can (and frequently do) enter the same work in multiple categories to expand their opportunities.
When does fan voting end?,Fan voting to determine nominees usually ends one to two weeks prior to the announcement of nominees. Fan voting to determine the Fan Winners usually ends two to three weeks prior to the announcement of winners. All eligible artists for fan voting are encouraged to begin promoting their entries as soon as possible to maximize their potential for votes.
I still have questions ƒ?? what do I do?,eMail us at IMAbuzz@independentmusicawards.com and weƒ??ll get in touch with you.
How will I know if Iƒ??ve won?,You will be notified via the email address provided when you registered. It is important to add IMAbuzz@independentmusicawards.com to your approved contacts ƒ?? and notify us if your contact info changes.
Can I enter work in multiple categories?,Yes you may enter the same song
Does my work have to be copyrighted?,It is not a requirement. However
Why do I have to pay to enter?,The processing fee helps to offset the cost of organizing every aspect of the program. It helps with such things as
Can I vote more than once for my favorite Artists?,Nope
Where can I find my IMA Fan Page URL?,Upon processing an uploaded Song or a Short Form Music Video entry provided with a URL
Iƒ??m a Nominee from outside the USA ƒ?? can you help me get a visa to attend?,Please contact Robert@IndependentMusicAwards.com ASAP if you require an official IMA letter to obtain the necessary border crossing paperwork. You must have a valid ƒ??Oƒ?or ƒ??Pƒ?Artist Visa issued by your own
Can I submit work that isnƒ??t released yet?,Yes
What does it cost to enter?,A nominal processing fee is required per entry
How does it work?,Fans accumulate points by helping their favorite IMA Artists win a Nomination and/or IMA Fan-Favorite Award.
OK,Of course! Weƒ??ll email you directly throughout the year to keep you posted about important IMA dates
How do I update my artist/band info?,You may edit your artist/band photo
What do I win?,Well
Is there a ceremony?,YES! The 17th IMA Winners were announced June 22nd
Can I win both the Fan & the Judge-Determined Award?,Absolutely!! And each year
When are nominees & winners announced?,Nominees will be announced in April
What is the Vox Pop?,The Vox Pop is The Independent Music Awards Fan Voting Platform created to engage fans with our entrants. It also serves as a unique music discovery tool. The top voted entrant in each Song and Short Form Music Video category becomes a nominee. The other four nominees in these categories and all five nominees in ALL other categories are solely determined by our judging panelists. The top voted nominee in each Song and Short Form Music Video category becomes the Vox Pop Fan Winner (which is separate from the judge-determined winner). Nominees in these categories can be named both the Vox Pop Fan Winner and the judge-determined winner. There are no Vox Pop Fan Winners in the Album
Do I need to purchase a ticket to attend the ceremony?,Yes
Can I enter cover songs? /,Must all music submissions be original compositions? With the exception of A Cappella
What do I win?,The IMAs elevate the exceptional work of artists and releases from around the globe. In addition to the prestige of earning IMA honors
Can I change my vote?,Unfortunately
How many copies should I include if Iƒ??m mailing in my entry?,Include one (1) CD
When submitting work that isnƒ??t released yet,You may put a placeholder URL in this field (e.g.
How do I keep track of the points Iƒ??ve earned?,No worries. The promotional items in your Fan toolkit have a unique link that automatically registers your interactions on The IMA site. And the actions of every one of the friends youƒ??ve registered. Youƒ??ll be able to easily track your progress on your Fan Dashboard.
Why donƒ??t I have an IMA Fan Page? / Where are my entries posted on your website?,Only uploaded Song entries and Short Form Music Videos provided with a link will be posted on your IMA Fan page for fan voting. All other entries are solely reviewed by our judging panelists. If you donƒ??t have an IMA Fan Page or donƒ??t see any songs/videos on your page
Iƒ??m not a nominee ƒ?? why should I attend?,As an indie artist youƒ??ll get to discuss your music projects with top-ranked artists and influencers from around the globe
Do I lose any rights to work entered?,NO! You maintain all rights to your work.
Can I vote for more than 1 Artist?,Absolutely! We encourage you to discover and champion new artists. In fact
Why is it saying my YouTube link is invalid? / Why is my video not playing on my IMA Fan Page / Vox Pop?,We require the full YouTube URL (e.g. https
I canƒ??t log in. Whatƒ??s the problem?,The activation link may be stuck in your spam/junk folder or youƒ??re trying to log in using an email address thatƒ??s different than what you used to register. You will not be able to log in without clicking this activation link
Can I submit my work from 10 years ago?,No. All submitted material must be released within the eligible time frame. See Eligibility section above.
How do fans vote?,Eligible fan voting entrants provide their IMA Fan Page link to their fans. When fans arrive at the page
Iƒ??m a Nominee. Do I have to be at the ceremony to be named a winner?,No! Winning projects are determined solely for their artistic merit. However
When is the deadline to submit?,The deadline to enter The 18th annual Independent Music Awards is Midnite (Pacific Time)
What is The IMA Fan Award?,An extension of the popular Fan Award
I entered work,NO! Submitting work
Can I submit multiple artists/bands from my account?,Yes. We frequently get submissions from labels and managers that have a roster of artists. To add more artists/bands
What are fan rewards?,Fans are rewarded for championing Artists on The IMA site
How are the nominees and winners determined?,The IMA Artist & Industry Judging Panel plays a crucial role in helping determine our nominees and winners. The Panel consists of esteemed recording artists
Whereƒ??s the cash and prizes?,The IMAs is an awards program ƒ?? not a song contest or talent show. In addition to bragging rights
How does the voting system work?,Fans listen to entered songs & videos on The IMA site. If they think itƒ??s worthy of a nomination they click ƒ??VOTEƒ?? to register their vote. After the voting process ends
I'd love to work for Sub Pop,Unfortunately
I'm interested in interning for Sub Pop. Do you have internships available?,Sub Pop loves
What is your demo policy? How do I submit my music?,If you would like us to hear your music
What music courses does PBE provide?,The music courses are as follows: Pop Piano Improvisation
How long will it take before I am really able to start playing (for an adult)?,It depends on your level of musical experience and training. A student with zero musical background will take on average
I have some music background. May I skip the subject matter that I already know?,Yes
Is it possible not to follow your syllabus?,Yes
I have absolutely NO music background. Am I eligible to learn?,Yes
